Frequency_Hz,Signal_Strength_dBm
1000000000,-95.9375
1004454343,-1.40625
1008908686,-0.25
1013363029,-1.375
1017817372,0.21875
1022271715,-1.09375
1026726058,-0.0625
1031180401,0.59375
1035634744,3.625
1040089087,1.71875
1044543430,2.875
1048997773,2.9375
1053452116,2.0
1057906459,4.625
1062360802,2.21875
1066815145,-11.15625
1071269488,-13.59375
1075723831,-12.46875
1080178174,-11.9375
1084632517,0.53125
1089086860,3.03125
1093541203,0.0
1097995546,1.03125
1102449889,1.0
1106904232,0.96875
1111358575,1.9375
1115812918,1.40625
1120267261,1.9375
1124721604,0.875
1129175947,2.375
1133630290,2.84375
1138084633,3.21875
1142538976,3.1875
1146993318,1.625
1151447661,-2.40625
1155902004,3.59375
1160356347,3.0
1164810690,2.96875
1169265033,1.9375
1173719376,4.90625
1178173719,1.875
1182628062,2.375
1187082405,0.4375
1191536748,3.5
1195991091,-0.4375
1200445434,1.125
1204899777,1.1875
1209354120,1.1875
1213808463,2.28125
1218262806,1.8125
1222717149,1.34375
1227171492,0.875
1231625835,1.375
1236080178,5.875
1240534521,2.84375
1244988864,2.34375
1249443207,0.8125
1253897550,1.3125
1258351893,2.3125
1262806236,2.8125
1267260579,2.78125
1271714922,3.78125
1276169265,0.75
1280623608,1.75
1285077951,1.21875
1289532294,0.71875
1293986637,0.1875
1298440980,2.15625
1302895323,1.1875
1307349666,2.15625
1311804009,0.6875
1316258352,-1.25
1320712695,2.34375
1325167038,2.40625
1329621381,2.0
1334075724,3.09375
1338530067,1.09375
1342984410,2.21875
1347438753,-12.21875
1351893096,2.875
1356347439,-8.59375
1360801782,3.0
1365256125,3.5625
1369710468,3.09375
1374164811,0.1875
1378619154,3.25
1383073497,3.375
1387527840,2.9375
1391982183,3.5
1396436526,4.09375
1400890869,-2.34375
1405345212,-3.84375
1409799555,-3.8125
1414253898,2.6875
1418708241,1.15625
1423162584,2.6875
1427616927,-11.375
1432071269,-10.34375
1436525612,1.15625
1440979955,2.625
1445434298,4.125
1449888641,1.59375
1454342984,0.0625
1458797327,0.03125
1463251670,-17.5
1467706013,-22.0
1472160356,1.0
1476614699,0.03125
1481069042,-5.96875
1485523385,-23.4375
1489977728,-8.9375
1494432071,-7.4375
1498886414,-1.40625
1503340757,4.09375
1507795100,2.125
1512249443,3.03125
1516703786,3.46875
1521158129,0.3125
1525612472,3.25
1530066815,3.15625
1534521158,2.125
1538975501,1.375
1543429844,2.375
1547884187,1.34375
1552338530,2.3125
1556792873,0.8125
1561247216,-28.21875
1565701559,-20.25
1570155902,-20.78125
1574610245,-29.8125
1579064588,-27.84375
1583518931,-20.84375
1587973274,-20.375
1592427617,-11.90625
1596881960,3.0625
1601336303,3.5
1605790646,2.96875
1610244989,1.90625
1614699332,2.375
1619153675,0.84375
1623608018,1.28125
1628062361,0.75
1632516704,1.71875
1636971047,1.6875
1641425390,1.125
1645879733,2.09375
1650334076,2.5625
1654788419,2.5
1659242762,-9.53125
1663697105,1.90625
1668151448,-16.125
1672605791,-31.65625
1677060134,-14.1875
1681514477,-21.21875
1685968820,-12.75
1690423163,3.1875
1694877506,1.15625
1699331849,-1.40625
1703786192,-1.9375
1708240535,1.03125
1712694878,0.46875
1717149220,-2.53125
1721603563,0.90625
1726057906,1.84375
